,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date,total_injuries
5,20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,42.445277,-70.758333,,,Non-Fatal,Substantial,Airplane,CF-TLU,mcdonnell,DC9,No,2.0,Turbo Fan,Part 129: Foreign,SCHD,,Air Canada,0.0,0.0,1.0,44.0,VMC,Climb,Probable Cause,19-09-2017,1.0
79,20020917X01897,Incident,CHI82IA026,1982-01-12,"CHICAGO, IL",United States,,,ORD,CHICAGO O'HARE INTER'L,Incident,Unknown,Airplane,N31031,lockheed,L-1011,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Trans World Airlines,0.0,0.0,0.0,149.0,UNK,Cruise,Probable Cause,12-01-1983,0.0
80,20020917X01765,Incident,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,,,CKB,BENEDUM,Incident,Minor,Airplane,N615KC,embraer,EMB-110P1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Aeromech Incorporated,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,12-01-1983,0.0
93,20020917X02538,Accident,NYC82FA021,1982-01-15,"JAMAICA, NY",United States,,,JFK,JOHN F. KENNEDY INT'L,Non-Fatal,Substantial,Airplane,N341PL,swearingen,SA 226-TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Pocono Airlines,0.0,1.0,2.0,12.0,VMC,Takeoff,Probable Cause,15-01-1983,3.0
95,20020917X01625,Accident,ANC82DA015,1982-01-15,"NEAR NUIQSUT, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N1459T,de,DHC-2-MK3,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Sea Airmotive, Inc.",0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,15-01-1983,0.0
103,20020917X01967,Accident,DEN82FA020,1982-01-17,"DELTA, UT",United States,,,,,Non-Fatal,Destroyed,Airplane,N91TW,piper,PA-31T,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,3.0,0.0,VMC,Maneuvering,Probable Cause,17-01-1983,3.0
118,20020917X01908,Accident,DCA82AA012A,1982-01-19,"ROCKPORT, TX",United States,,,RKP,ARANSAS COUNTY AIRPORT,Fatal(3),Destroyed,Airplane,N336SA,swearingen,SA226-T(B),No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,3.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,19-01-1983,3.0
119,20020917X01766,Incident,ATL82IA038,1982-01-19,"WASHINGTON, DC",United States,,,IAD,,Incident,Minor,Airplane,N9240N,de,DHC-6-300,No,2.0,Turbo Prop,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,1.0,IMC,Descent,Probable Cause,19-01-1983,0.0
129,20020917X02397,Accident,MIA82FA034,1982-01-19,"MIAMI, FL",United States,,,MIA,MIAMI INTL,Non-Fatal,Substantial,Airplane,HCBHS,canadair,CL-44D4,No,4.0,Turbo Prop,Part 129: Foreign,NSCH,Unknown,"Acroservicios Eduatorianos, C",0.0,0.0,0.0,6.0,VMC,Landing,Probable Cause,19-01-1983,0.0
149,20020917X01767,Incident,ATL82IA041,1982-01-22,"LOUISVILLE, KY",United States,,,SDF,STANDIFORD FIELD,Incident,Unknown,Airplane,N18FE,dassault/sud,FALCON 20,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Federal Express Corporation,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,22-01-1983,0.0
155,20020917X01909,Accident,DCA82AA013,1982-01-23,"BOSTON, MA",United States,,,,BOSTON-LOGAN INTER'L,Fatal(2),Destroyed,Airplane,N113WA,mcdonnell,DC-10-30,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"World Airways, Inc.",2.0,4.0,24.0,182.0,IMC,Landing,Probable Cause,23-01-1983,30.0
191,20020917X01768,Incident,ATL82IA042,1982-01-29,"ATLANTA, GA",United States,,,,,Incident,Unknown,Airplane,N1851S,beech,B200,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,29-01-1983,0.0
214,20020917X02480,Accident,NYC82AA028,1982-02-01,"GROTON, CT",United States,,,GON,GROTON-NEW LONDON,Non-Fatal,Destroyed,Airplane,N451C,beech,99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Pilgrim Airlines,0.0,5.0,2.0,0.0,IMC,Approach,Probable Cause,01-02-1983,7.0
221,20020917X01784,Accident,CHI82DA033,1982-02-01,"ANDERSON, IN",United States,,,AID,ANDERSON MUNICIPAL,Non-Fatal,Substantial,Airplane,N5400G,grumman,1159,No,2.0,Turbo Jet,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,01-02-1983,0.0
229,20020917X01923,Accident,DEN82DA029,1982-02-03,"HAYDEN, CO",United States,,,HDN,YAMPA VALLEY,Non-Fatal,Destroyed,Airplane,N149JA,mitsubishi,MU2B-40,No,2.0,Turbo Prop,Part 91: General Aviation,,Business,,0.0,0.0,6.0,0.0,IMC,Landing,Probable Cause,03-02-1983,6.0
230,20020917X01910,Accident,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",United States,,,PHL,PHILADELPHIA INTL,Non-Fatal,Minor,Airplane,N1814U,mcdonnell-douglas,DC-10-10,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines Inc.,0.0,1.0,0.0,154.0,IMC,Takeoff,Probable Cause,03-02-1983,1.0
279,20020917X01769,Incident,ATL82IA051,1982-02-09,"BIRMINGHAM, AL",United States,,,,BIRMINGHAM MUNI,Incident,Unknown,Airplane,N205SG,beech,200,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,10.0,IMC,Takeoff,Probable Cause,09-02-1983,0.0
294,20020917X02571,Incident,NYC82IA036,1982-02-12,"JAMAICA, NY",United States,,,,,Incident,Unknown,Airplane,N80701,de,DHC-6-100,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Newair Flight, Inc.",0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,12-02-1983,0.0
320,20020917X02336,Incident,LAX82IA075,1982-02-15,"ONTARIO, CA",United States,,,ONT,ONTARIO INTERNATIONAL,Incident,Minor,Airplane,N73717,boeing,B737-2H4,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,Unknown,Aircal,0.0,0.0,0.0,119.0,IMC,Approach,Probable Cause,15-02-1983,0.0
334,20020917X01727,Accident,ATL82FA055,1982-02-16,"SPRINGFIELD, KY",United States,,,6I2,LEBANON-SPRINGFIELD,Fatal(8),Destroyed,Airplane,N2517X,piper,PA-31T2,No,2.0,Turbo Prop,Part 91: General Aviation,,Business,,8.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,16-02-1983,8.0
335,20020917X01807,Accident,CHI82DA057,1982-02-16,"COLUMBUS, OH",United States,,,CMH,PORT COLUMBUS,Non-Fatal,Substantial,Airplane,N3DS,beech,90,No,2.0,Turbo Prop,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,IMC,Cruise,Probable Cause,16-02-1983,0.0
336,20020917X01911,Accident,DCA82AA015,1982-02-16,"KING SALMON, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N169RV,nihon,YS-11A,No,2.0,Turbo Prop,Part 121: Air Carrier,SCHD,Unknown,Reeve Aleutian,0.0,0.0,3.0,36.0,VMC,Approach,Probable Cause,16-02-1983,3.0
346,20020917X02630,Incident,SEA82IA029,1982-02-18,"BOISE, ID",United States,,,BOI,BOISE AIR TERMINAL,Incident,Minor,Airplane,N101RA,embraer,EMB-11OP1,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Cascade Airways, Inc.",0.0,0.0,0.0,16.0,VMC,Takeoff,Probable Cause,18-02-1983,0.0
351,20020917X02151,Incident,FTW82IA062,1982-02-19,"HARLINGEN, TX",United States,,,HRL,HARLINGEN IND.AIR PARK,Incident,Unknown,Airplane,XAMEJ,boeing,B-727-200,No,3.0,Turbo Jet,Part 129: Foreign,SCHD,,Mexicana Airlines,0.0,0.0,0.0,83.0,IMC,Landing,Probable Cause,04-12-2014,0.0
377,20020917X01912,Accident,DCA82AA016,1982-02-21,"PROVIDENCE, RI",United States,,,,,Fatal(1),Destroyed,Airplane,N127PM,de,DHC-6,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Pilgrim Airlines,1.0,10.0,1.0,0.0,VMC,Cruise,Probable Cause,21-02-1983,12.0
386,20020917X01813,Accident,CHI82DA064,1982-02-21,"BLOOMINGTON, IN",United States,,,BMG,MONROE COUNTY,Non-Fatal,Substantial,Airplane,N378NE,fairchild,227C,No,2.0,Turbo Prop,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,21-02-1983,0.0
407,20020917X01898,Incident,CHI82IA072,1982-02-24,"CHICAGO, IL",United States,,,ORD,O'HARE,Incident,Unknown,Airplane,N192MA,swearingen,SA-227,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Midstate Airlines,0.0,0.0,0.0,12.0,VMC,Landing,Probable Cause,24-02-1983,0.0
419,20020917X01770,Incident,ATL82IA060,1982-02-26,"ATLANTA, GA",United States,,,PDK,DEKALB PEACHTREE,Incident,Minor,Airplane,N10AY,beech,B90,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,Hanger One,0.0,0.0,0.0,3.0,IMC,Landing,Probable Cause,26-02-1983,0.0
506,20020917X02477,Incident,MKC82IA042,1982-03-08,"LAS VEGAS, NV",United States,,,LAS,MCCARRAN INTERNATL,Incident,Unknown,Airplane,N6728,boeing,707-131B,No,4.0,Turbo Fan,Part 121: Air Carrier,UNK,Unknown,Trans World Airlines Inc,1.0,0.0,0.0,0.0,VMC,Standing,Probable Cause,08-03-1983,1.0
515,20020917X01899,Incident,CHI82IA082,1982-03-09,"SOUTH BEND, IN",United States,,,SBN,MICHIANA REGIONAL,Incident,Minor,Airplane,N323BA,swearingen,SA-266TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Britt Airways, Inc",0.0,0.0,0.0,9.0,UNK,Maneuvering,Probable Cause,09-03-1983,0.0
522,20020917X02338,Incident,LAX82IA103,1982-03-10,"LONG BEACH, CA",United States,,,LGB,LONG BEACH/DAUGHETY FIELD,Incident,Unknown,Airplane,N778JA,douglas,DC-9-82,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Jet America Airlines,0.0,0.0,0.0,68.0,VMC,Standing,Probable Cause,10-03-1983,0.0
