,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date,total_injuries
15,20020917X01962,Accident,DEN82DTM08,1982-01-02,"MIDWAY, UT",United States,,,,FIELD RANCH,Non-Fatal,Destroyed,Helicopter,N51735,enstrom,280C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,IMC,Taxi,Probable Cause,02-01-1983,0.0
18,20020917X02339,Accident,MIA82DA028,1982-01-02,"MIAMI, FL",United States,,,,,Non-Fatal,Substantial,Helicopter,N23BS,smith,WCS-222 (BELL 47G),No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,02-01-1983,0.0
21,20020917X01657,Accident,ATL82DA027,1982-01-02,"CHAMBLEE, GA",United States,,,PDK,,Non-Fatal,Substantial,Helicopter,N5745Y,bell,206L-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Rocky Mountain Helicopters, In",0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,02-01-1983,0.0
45,20020917X02157,Accident,LAX82DA039,1982-01-06,"MAMMOTH LAKES, CA",United States,,,MMH,MAMMOTH LAKES,Non-Fatal,Substantial,Helicopter,N608RA,aerospatiale,SA-316B,No,1.0,Turbo Shaft,Part 91: General Aviation,,Business,,0.0,0.0,0.0,6.0,VMC,Taxi,Probable Cause,06-01-1983,0.0
90,20020917X02577,Accident,SEA82DA019,1982-01-15,"S.E. OF MALTA, ID",United States,,,,,Non-Fatal,Substantial,Helicopter,N58203,hughes,269C,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,15-01-1983,0.0
95,20020917X02096,Accident,FTW82FA041,1982-01-16,"HOUMA, LA",United States,,,,,Fatal(1),Destroyed,Helicopter,N1081H,bell,206L-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,Offshore Logistics,1.0,2.0,0.0,0.0,IMC,Cruise,Probable Cause,16-01-1983,3.0
107,20020917X01660,Accident,ATL82DA036,1982-01-17,"CENTERVILLE, AL",United States,,,,,Non-Fatal,Substantial,Helicopter,N203AL,bell,206B,No,1.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,17-01-1983,0.0
136,20020917X01915,Accident,DEN82DA021,1982-01-20,"BONDURANT, WY",United States,,,,,Non-Fatal,Substantial,Helicopter,N7402F,hughes,269C,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,20-01-1983,0.0
150,20020917X02578,Accident,SEA82DA020,1982-01-22,"NEAR KINGSTON, ID",United States,,,,,Non-Fatal,Substantial,Helicopter,N97AR,sikorsky,S-58J,No,1.0,Reciprocating,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,22-01-1983,0.0
161,20020917X01916,Accident,DEN82DA022,1982-01-23,"36 SW LARAMIE, WY",United States,,,,,Non-Fatal,Substantial,Helicopter,N1085T,bell/textron,206 L-1,No,1.0,Turbo Shaft,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,23-01-1983,0.0
162,20020917X02162,Accident,LAX82DA051,1982-01-23,"WATSONVILLE, CA",United States,,,,,Non-Fatal,Substantial,Helicopter,N10194,bell,47G-2,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,23-01-1983,0.0
176,20020917X01918,Accident,DEN82DA024,1982-01-26,"10MI. NW WALSEN, CO",United States,,,,,Non-Fatal,Substantial,Helicopter,N58214,hughes,369D,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,Russell Lyon,0.0,0.0,2.0,2.0,VMC,Cruise,Probable Cause,26-01-1983,2.0
177,20020917X02261,Accident,LAX82FA061,1982-01-27,"LAGUNITAS, CA",United States,,,,,Fatal(1),Destroyed,Helicopter,N96142,bell,UH1B,Yes,1.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,27-01-1983,1.0
215,20020917X02135,Accident,FTW82FRA15,1982-02-01,"HITCHCOCK, TX",United States,,,,HELIPAD,Non-Fatal,Destroyed,Helicopter,N213EH,aerospatiale,SA-360C,No,1.0,Turbo Shaft,Part 91: General Aviation,,Ferry,,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,01-02-1983,1.0
232,20020917X01785,Accident,CHI82DA034,1982-02-03,"INDIANAPOLIS, IN",United States,,,,,Non-Fatal,Substantial,Helicopter,N2777B,bell,206L-1,No,1.0,Turbo Shaft,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,03-02-1983,0.0
234,20020917X02401,Accident,MIA82FA042,1982-02-04,"ORMAND BEACH, FL",United States,,,,,Fatal(2),Destroyed,Helicopter,N90286,robinson,R-22,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,04-02-1983,2.0
236,20020917X02008,Accident,FTW82DA055,1982-02-04,GULF OF MEXICO,GULF OF MEXICO,,,SS87,SHIP SHOAL 87,Non-Fatal,Substantial,Helicopter,N2623,bell,206L-1,No,1.0,Turbo Shaft,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,04-02-1983,0.0
288,20020917X01796,Accident,CHI82DA045,1982-02-10,"URBANA, IL",United States,,,,RESTRICTED HELIPORT,Non-Fatal,Substantial,Helicopter,N2256G,sikorsky,UH-19B,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,10-02-1983,0.0
308,20020917X02329,Accident,LAX82FXQ04,1982-02-14,"QUINCY, CA",United States,,,,,Fatal(1),Destroyed,Helicopter,N2240H,bell,214B-1,No,1.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,1.0,1.0,0.0,0.0,VMC,Other,Probable Cause,14-02-1983,2.0
358,20020917X02268,Accident,LAX82FA077,1982-02-19,"BRAWLEY, CA",United States,,,,,Non-Fatal,Substantial,Helicopter,N4021A,bell,47G2,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Unknown,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,19-02-1983,0.0
386,20020917X02623,Accident,SEA82FYK08,1982-02-22,"SUTHERLIN, OR",United States,,,,,Non-Fatal,Destroyed,Helicopter,N4524,kaman,HH-43F,No,1.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,22-02-1983,1.0
416,20020917X02098,Accident,FTW82FA071,1982-02-26,"SAN MARCOS, TX",United States,,,,,Fatal(1),Destroyed,Helicopter,N9061Z,robinson,R22,No,1.0,Reciprocating,Part 91: General Aviation,,Business,,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,26-02-1983,1.0
428,20020917X02355,Accident,MIA82DA059,1982-02-27,"FT. MYERS, FL",United States,,,,LEHIGH WEST,Non-Fatal,Substantial,Helicopter,N1100W,hughes,269C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,27-02-1983,0.0
442,20020917X02023,Accident,FTW82DA073,1982-02-28,"DALLAS, TX",United States,,,RBD,REDBIRD,Non-Fatal,Substantial,Helicopter,N1773,bell,47G,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-02-1983,0.0
449,20020917X01930,Accident,DEN82DA037,1982-03-01,"ALMA, CO",United States,,,,,Non-Fatal,Substantial,Helicopter,N580P,bell,206B III,No,1.0,Turbo Shaft,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,01-03-1983,0.0
453,20020917X02535,Accident,NYC82DFJ11,1982-03-02,"LITTLE VALLEY, NY",United States,,,,,Non-Fatal,Substantial,Helicopter,N8690F,hughes,500,No,1.0,Turbo Shaft,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,4.0,IMC,Cruise,Probable Cause,02-03-1983,0.0
459,20020917X02025,Accident,FTW82DA075,1982-03-02,HIGH ISLAND BLK,HIGH ISLAND,,,,,Fatal(2),Destroyed,Helicopter,N63AL,bell,206B,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,Air Logistics Inc.,2.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,02-03-1983,2.0
461,20020917X02026,Accident,FTW82DA076,1982-03-02,MUSTANG BLK A11,,,,,,Non-Fatal,Unknown,Helicopter,N1080S,bell,12,No,2.0,Turbo Shaft,Part 91: General Aviation,,Unknown,,0.0,1.0,0.0,5.0,VMC,Standing,Probable Cause,02-03-1983,1.0
499,20020917X01931,Accident,DEN82DA040,1982-03-07,"TRENTON, ND",United States,,,,,Non-Fatal,Substantial,Helicopter,N16867,bell,206B III,No,1.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,07-03-1983,1.0
500,20020917X02627,Accident,SEA82FYM11,1982-03-08,"MOUNT ANGLE, OR",United States,,,,,Non-Fatal,Destroyed,Helicopter,N59366,hiller,UH-12E,No,1.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,08-03-1983,1.0
515,20020917X02192,Accident,LAX82DA100,1982-03-09,"DELANO, CA",United States,,,,,Non-Fatal,Substantial,Helicopter,N99242,hiller,12E,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,09-03-1983,0.0
536,20020917X02542,Accident,NYC82FA053,1982-03-12,"SPANGLER, PA",United States,,,,,Fatal(1),Destroyed,Helicopter,N9079M,robinson,R22,No,1.0,Reciprocating,Part 91: General Aviation,,Aerial Observation,,1.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,12-03-1983,2.0
590,20020917X01937,Accident,DEN82DA046,1982-03-16,"MARBLE, CO",United States,,,,,Non-Fatal,Substantial,Helicopter,N2169X,bell,206B,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Luebell Helicopters, Inc",0.0,0.0,0.0,4.0,VMC,Approach,Probable Cause,16-03-1983,0.0
600,20020917X01682,Accident,ATL82DA073,1982-03-17,"LYDIA, SC",United States,,,,,Non-Fatal,Substantial,Helicopter,N4029R,hiller,UH12E,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,17-03-1983,0.0
612,20020917X02513,Accident,NYC82DA056,1982-03-18,"EMMAUS, PA",United States,,,,,Non-Fatal,Substantial,Helicopter,N8565F,bell,47J-2A,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,1.0,0.0,2.0,VMC,Maneuvering,Probable Cause,18-03-1983,1.0
627,20020917X02450,Accident,MKC82DA046,1982-03-20,"PARSONS, KS",United States,,,,,Non-Fatal,Substantial,Helicopter,N101AE,enstrom,F-28A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,20-03-1983,0.0
631,20020917X01687,Accident,ATL82DA079,1982-03-20,"LEXINGTON, KY",United States,,,8,,Non-Fatal,Substantial,Helicopter,N9143F,hughes,H-369HS,No,1.0,Turbo Shaft,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,20-03-1983,0.0
638,20020917X02613,Accident,SEA82DA077,1982-03-21,"HILLSBORO, OR",United States,,,12,WILLAMETTE VALLEY,Non-Fatal,Substantial,Helicopter,N1KH,robinson,R-22,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,21-03-1983,0.0
644,20020917X02278,Accident,LAX82FA117,1982-03-22,"NEAR BRIDEPORT, CA",United States,,,,,Non-Fatal,Destroyed,Helicopter,N9829C,aerospatiale,SA316B,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,Mammoth Heli-ski Tioyabe Corp.,0.0,4.0,3.0,0.0,VMC,Climb,Probable Cause,22-03-1983,7.0
670,20020917X02614,Accident,SEA82DYA06,1982-03-25,"JEROME, ID",United States,,,,HALF WAY RANCH,Non-Fatal,Destroyed,Helicopter,N222RP,rotorway,SCORPION TOO,Yes,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,0.0,VMC,Taxi,Probable Cause,25-03-1983,1.0
682,20020917X02147,Accident,FTW82FRG27,1982-03-26,"AUSTIN, TX",United States,,,,,Fatal(1),Destroyed,Helicopter,N5739Y,bell,206,No,1.0,Turbo Shaft,Part 91: General Aviation,,Personal,,1.0,1.0,0.0,0.0,IMC,Maneuvering,Probable Cause,26-03-1983,2.0
731,20020917X02103,Accident,FTW82FA110,1982-04-02,"MCKINNEY, TX",United States,,,TKI,MCKINNEY MUNICIPAL,Fatal(3),Destroyed,Helicopter,N112CF,mbb-bolkow,BO-105CBS,No,2.0,Turbo Shaft,Part 91: General Aviation,,Instructional,,3.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,02-04-1983,3.0
736,20020917X02599,Accident,SEA82DA044,1982-04-02,"NEAR TOUTLE, WA",United States,,,,,Non-Fatal,Substantial,Helicopter,N9060F,hiller,UH-12E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Cruise,Probable Cause,02-04-1983,0.0
767,20020917X02601,Accident,SEA82DA047,1982-04-06,"SILETZ, OR",United States,,,,,Non-Fatal,Destroyed,Helicopter,N47246,sikorsky,S-58J,No,2.0,Turbo Shaft,Part 133: Rotorcraft Ext. Load,UNK,Unknown,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,06-04-1983,0.0
793,20020917X02604,Accident,SEA82DA050,1982-04-09,"LYLE, WA",United States,,,,,Non-Fatal,Substantial,Helicopter,N11VH,bell,47G-2A,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,09-04-1983,0.0
802,20020917X02216,Accident,LAX82DA133,1982-04-10,"MESA, AZ",United States,,,,,Non-Fatal,Substantial,Helicopter,N90736,robinson,R-22,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause,10-04-1983,0.0
809,20020917X01654,Accident,ANC82FA036,1982-04-11,"NEAR TANANA, AK",United States,,,,,Fatal(3),Destroyed,Helicopter,N11058,hughes,369D,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Tundra Copters, Inc.",3.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,11-04-1983,3.0
810,20020917X02472,Accident,MKC82FCA08,1982-04-11,"ST GENEVIEVE, MO",United States,,,,,Non-Fatal,Substantial,Helicopter,N87623,bell,47G-4,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,2.0,0.0,0.0,VMC,Cruise,Probable Cause,11-04-1983,2.0
