,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date
5,20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,42.445277,-70.758333,,,Non-Fatal,Substantial,Airplane,CF-TLU,mcdonnell douglas,DC9,No,2.0,Turbo Fan,Part 129: Foreign,SCHD,,Air Canada,0.0,0.0,1.0,44.0,VMC,Climb,Probable Cause,19-09-2017
8,20020909X01561,Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,,,N58,HANOVER,Non-Fatal,Substantial,Airplane,N7967Q,cessna,401B,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,0.0,0.0,0.0,2.0,IMC,Landing,Probable Cause,01-01-1982
25,20020917X01905,Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,,,,HANOVER COUNTY,Fatal(8),Destroyed,Airplane,N2620L,cessna,414A,No,2.0,Reciprocating,Part 91: General Aviation,,Business,,8.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,03-01-1983
26,20020917X01720,Accident,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,,,SOP,MOORE COUNTY,Fatal(1),Destroyed,Airplane,N10VS,beechcraft,BE-58,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,03-01-1983
33,20020917X02254,Accident,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,,,,,Fatal(2),Destroyed,Airplane,N1956H,piper,PA-34-200T,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Lang Air Service,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,04-01-1983
34,20020917X01880,Accident,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,,,,,Fatal(2),Destroyed,Airplane,N2CU,cessna,T337G,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,2.0,2.0,0.0,0.0,IMC,Cruise,Probable Cause,04-01-1983
39,20020917X01906,Accident,DCA82AA009,1982-01-05,"ITHACA, NY",United States,,,,TOMPKINS COUNTY,Fatal(2),Destroyed,Airplane,N546BA,piper,PA-31,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Empire Airlines,2.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,05-01-1983
45,20020917X02423,Accident,MKC82DA016,1982-01-06,"ROLLA, MO",United States,,,K07,DOWNTOWN,Non-Fatal,Substantial,Airplane,N2672A,cessna,340,Yes,2.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,06-01-1983
53,20020917X02141,Accident,FTW82FRG20,1982-01-07,"LAREDO, TX",United States,,,LRD,LAREDO INTL,Non-Fatal,Substantial,Airplane,N1698M,curtis,C46,No,2.0,Reciprocating,"Part 125: 20+ Pax,6000+ lbs",NSCH,Unknown,,0.0,0.0,0.0,3.0,VMC,Standing,Probable Cause,07-01-1983
65,20020917X01994,Accident,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,,,DWH,DAVID WAYNE HOOKS,Non-Fatal,Substantial,Airplane,N55489,piper,PA-34,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause,09-01-1983
68,20020917X02341,Accident,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,,,,LOWERY DAVIS,Non-Fatal,Destroyed,Airplane,N567V,piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Unknown,,0.0,2.0,0.0,0.0,UNK,Approach,Probable Cause,10-01-1983
70,20020917X01882,Accident,CHI82FA025,1982-01-10,"WHEELING, IL",United States,,,PWK,PALWAUKEE,Non-Fatal,Destroyed,Airplane,N6995Y,piper,23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,IMC,Takeoff,Probable Cause,10-01-1983
78,20020917X01715,Accident,ATL82DKJ09,1982-01-11,"AUBURN, AL",United States,,,AVO,AUBURN/OPELIKA,Non-Fatal,Substantial,Airplane,N424VW,cessna,310L,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,11-01-1983
79,20020917X01897,Incident,CHI82IA026,1982-01-12,"CHICAGO, IL",United States,,,ORD,CHICAGO O'HARE INTER'L,Incident,Unknown,Airplane,N31031,lockheed,L-1011,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Trans World Airlines,0.0,0.0,0.0,149.0,UNK,Cruise,Probable Cause,12-01-1983
