,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date,total_injuries
4120,20001214X42478,Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INTL,Incident,Minor,Airplane,9VSQQ,boeing,747,No,4.0,Turbo Fan,Part 129: Foreign,SCHD,,"Singapore Airlines, Ltd.",0.0,0.0,0.0,588.0,VMC,Taxi,Probable Cause,04-12-2014,0.0
50583,20090625X31711,Incident,DCA02RA024,2002-03-01,"Sydney, Australia",Australia,,,SDY,Sydney,Incident,Minor,Airplane,,boeing,747,No,4.0,Turbo Fan,"Non-U.S., Commercial",SCHD,,,0.0,0.0,0.0,0.0,,Unknown,Foreign,07-07-2009,0.0
52409,20090526X02836,Incident,ENG03WA007,2003-02-13,"Okinawa, Japan",Japan,,,OKA,Okinawa,Incident,Unknown,Airplane,,boeing,747,No,4.0,Turbo Fan,"Non-U.S., Commercial",SCHD,,,0.0,0.0,0.0,0.0,,Unknown,Foreign,10-06-2009,0.0
53771,20031105X01861,Accident,NYC04CA003,2003-10-04,"BOSTON, MA",United States,42.364167,-71.005,BOS,Boston,Non-Fatal,Substantial,Airplane,N972AN,boeing,737,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,,,0.0,0.0,0.0,76.0,VMC,Standing,Probable Cause,05-02-2004,0.0
62133,20100608X35931,Incident,ENG08IA051,2008-06-27,"Phoenix (PHX), AZ",United States,033264N,0112041W,PHX,Phoenix Sky Harbor Intl.,Non-Fatal,Minor,Airplane,N514AU,boeing,737,No,2.0,Turbo Fan,121,SCHD,,US AIRWAYS INC,0.0,0.0,0.0,0.0,,Unknown,"The failure of the MLG was due to cracking in the cylinder wall resulting from a fatigue mechanism which initiated at, and near the inner diameter (ID) surface, with propagation through the wall toward the outer diameter(OD) surface. Crack initiation was due to base metal damage which took the form of over tempered martensite (OTM) and chemical attack/pitting of the base metal.",25-09-2020,0.0
62724,20081219X65313,Incident,ENG08IA042,2008-10-01,"Chicago, IL",United States,415321N,0873713W,MDW,Chicago Midway,Non-Fatal,Minor,Airplane,N551WN,boeing,737,No,2.0,Turbo Fan,121,SCHD,,"Southwest Airlines, Co.",0.0,0.0,0.0,133.0,,Unknown,The right nose landing gear axle's failure from intergranular and fatigue cracking due to an earlier bearing failure.,03-11-2020,0.0
62802,20081027X75039,Accident,DCA09FA004,2008-10-20,"Phoenix, AZ",United States,033267N,0112036W,PHX,Sky Harbor International,Non-Fatal,Substantial,Airplane,N448UA,airbus,320,No,2.0,Turbo Fan,121,SCHD,,United Airlines,0.0,0.0,0.0,162.0,VMC,Unknown,The failure of the flightcrew to arrest an excessive sink rate during the flare for landing.,25-09-2020,0.0
63584,20090513X31333,Incident,CEN09IA294,2009-05-13,"Houston, TX",United States,293826N,0951626W,HOU,William P. Hobby Airport,Non-Fatal,Minor,Airplane,N371SW,boeing,737,No,2.0,Turbo Fan,121,SCHD,,SOUTHWEST AIRLINES CO,0.0,2.0,0.0,51.0,VMC,Unknown,"The pilot's inadvertent application of excessive braking after touchdown, which caused the right wheels to lock and several tires to blow and resulted in a subsequent brake fire.",25-09-2020,2.0
63780,20090826X84257,Incident,ENG09IA011,2009-06-14,"Diyarbakir, OF",Turkey,375333N,0401159E,LTCC,Diyarbakir Airport,Non-Fatal,Unknown,Airplane,TC-TLA,boeing,737,No,2.0,Turbo Fan,NUSC,SCHD,,Tailwinds Airlines,0.0,2.0,0.0,0.0,VMC,Unknown,"An uncommanded elevator surface deflection as a result of a left elevator PCU input arm assembly jam due to FOD lodged between the input arm assembly and the PCU housing. The FOD was a roller element from an elevator upper torque tube output crank bearing, but how or when the roller element liberated from its bearing assembly could not be determined.

Contributing to the survivability of this incident was the flight crews immediate actions in response to the elevator control system jam.",30-04-2021,2.0
64181,20090811X50316,Accident,DCA09WA072,2009-08-10,"Tokyo, Japan",Japan,,,HND,Tokyo International Airport,Non-Fatal,Substantial,Airplane,JA56AN,boeing,737,No,2.0,Turbo Fan,NUSC,SCHD,,"Air Nippon Co., Ltd",0.0,0.0,0.0,153.0,,Unknown,,03-11-2020,0.0
64242,20090826X11036,Incident,ENG09WA012,2009-08-21,"Launceton, Tasmania, Australia",Australia,,,,,Non-Fatal,Unknown,Airplane,VH-VOC,boeing,737,No,2.0,Turbo Fan,NUSC,SCHD,,Virgin Blue,0.0,0.0,0.0,2.0,,Unknown,,03-11-2020,0.0
64365,20090909X82446,Incident,ENG09IA014,2009-09-08,"Los Angeles, CA",United States,335633N,1182426W,KLAX,Los Angeles International,Non-Fatal,Minor,Airplane,N670SW,boeing,737,No,2.0,Turbo Fan,121,SCHD,,"Southwest Airlines, Co.",0.0,0.0,0.0,142.0,VMC,Unknown,The failure of the right main landing gear inboard axle due to fatigue cracking as a result of fretting damage in one of the brake mounting bolt holes.,25-09-2020,0.0
