,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date,total_injuries
128,20020917X02397,Accident,MIA82FA034,1982-01-19,"MIAMI, FL",United States,,,MIA,MIAMI INTL,Non-Fatal,Substantial,Airplane,HCBHS,canadair,CL-44D4,No,4.0,Turbo Prop,Part 129: Foreign,NSCH,Unknown,"Acroservicios Eduatorianos, C",0.0,0.0,0.0,6.0,VMC,Landing,Probable Cause,19-01-1983,0.0
502,20020917X02477,Incident,MKC82IA042,1982-03-08,"LAS VEGAS, NV",United States,,,LAS,MCCARRAN INTERNATL,Incident,Unknown,Airplane,N6728,boeing,707-131B,No,4.0,Turbo Fan,Part 121: Air Carrier,UNK,Unknown,Trans World Airlines Inc,1.0,0.0,0.0,0.0,VMC,Standing,Probable Cause,08-03-1983,1.0
554,20020917X02154,Accident,LAX82AA106A,1982-03-13,"GLENDALE, AZ",United States,,,LUF,,Fatal(6),Destroyed,Airplane,KC135,boeing,KC-135A,No,4.0,Turbo Jet,Unknown,UNK,Unknown,,6.0,0.0,0.0,0.0,UNK,Approach,Probable Cause,13-03-1983,6.0
665,20020917X02279,Accident,LAX82FA119,1982-03-24,"MARANA, AZ",United States,,,MJC,MARANA AIRPARK,Non-Fatal,Substantial,Airplane,N752TA,boeing,707-123B,No,4.0,Turbo Jet,Part 91: General Aviation,,Ferry,,0.0,0.0,0.0,7.0,VMC,Landing,Probable Cause,24-03-1983,0.0
1342,20020917X03237,Incident,DEN82IA098,1982-05-27,"NEAR GOSHEN, IN",United States,,,,,Incident,Unknown,Airplane,N8088U,douglas,DC-8-61,No,4.0,Turbo Jet,Part 121: Air Carrier,SCHD,Unknown,United Airlines Inc.,0.0,0.0,17.0,129.0,VMC,Cruise,Probable Cause,27-05-1983,17.0
1385,20020917X04018,Accident,NYC82FA110,1982-05-29,ATLANTIC OCEAN,ATLANTIC OCEAN,,,,,Non-Fatal,Unknown,Airplane,N801EV,douglas,DC8-52,No,4.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Northeastern Int'l. Airways,0.0,1.0,1.0,109.0,VMC,Cruise,Probable Cause,29-05-1983,2.0
3228,20020917X04908,Accident,MIA83FA027,1982-11-11,"MIAMI, FL",United States,,,,,Fatal(1),Unknown,Airplane,N707GB,boeing,707-300,No,4.0,Turbo Fan,Part 121: Air Carrier,NSCH,Unknown,Arrow Airways,1.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,11-11-1983,1.0
3354,20020917X04910,Accident,MIA83FA036,1982-11-27,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Non-Fatal,Substantial,Airplane,HK284,boeing,707-323C,No,4.0,Turbo Fan,Part 129: Foreign,SCHD,Unknown,Aerotal Ltda.,0.0,0.0,0.0,116.0,VMC,Takeoff,Probable Cause,27-11-1983,0.0
4120,20001214X42478,Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INTL,Incident,Minor,Airplane,9VSQQ,boeing,747,No,4.0,Turbo Fan,Part 129: Foreign,SCHD,,"Singapore Airlines, Ltd.",0.0,0.0,0.0,588.0,VMC,Taxi,Probable Cause,04-12-2014,0.0
16615,20001213X30244,Accident,FTW87RA066,1987-02-14,"DURANGO, Mexico",Mexico,,,,,Fatal(1),Unknown,Airplane,N712PC,boeing,707-323B,No,4.0,Turbo Jet,Part 121: Air Carrier,NSCH,Unknown,,1.0,0.0,3.0,131.0,UNK,Unknown,Foreign,07-02-1995,4.0
