,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date,total_injuries
78,20020917X01897,Incident,CHI82IA026,1982-01-12,"CHICAGO, IL",United States,,,ORD,CHICAGO O'HARE INTER'L,Incident,,Airplane,N31031,lockheed,L-1011,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Trans World Airlines,0.0,0.0,0.0,149.0,UNK,Cruise,Probable Cause,12-01-1983,0.0
154,20020917X01909,Accident,DCA82AA013,1982-01-23,"BOSTON, MA",United States,,,,BOSTON-LOGAN INTER'L,Fatal(2),Destroyed,Airplane,N113WA,mcdonnell,DC-10-30,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"World Airways, Inc.",2.0,4.0,24.0,182.0,IMC,Landing,Probable Cause,23-01-1983,30.0
229,20020917X01910,Accident,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",United States,,,PHL,PHILADELPHIA INTL,Non-Fatal,Minor,Airplane,N1814U,mcdonnell-douglas,DC-10-10,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines Inc.,0.0,1.0,0.0,154.0,IMC,Takeoff,Probable Cause,03-02-1983,1.0
350,20020917X02151,Incident,FTW82IA062,1982-02-19,"HARLINGEN, TX",United States,,,HRL,HARLINGEN IND.AIR PARK,Incident,,Airplane,XAMEJ,boeing,B-727-200,No,3.0,Turbo Jet,Part 129: Foreign,SCHD,,Mexicana Airlines,0.0,0.0,0.0,83.0,IMC,Landing,Probable Cause,04-12-2014,0.0
792,20020917X01904,Incident,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",United States,,,YNG,YOUNGSTOWN MUNICIPAL,Incident,Minor,Airplane,N7627U,boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,0.0,0.0,108.0,IMC,Landing,Probable Cause,09-04-1983,0.0
896,20020917X02079,Accident,FTW82DA139,1982-04-18,"AUSTIN, TX",United States,,,AUS,AUSTIN MUNI,Non-Fatal,Substantial,Airplane,N32717,boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Continental Airlines, Inc.",0.0,0.0,0.0,68.0,VMC,Landing,Probable Cause,18-04-1983,0.0
903,20020917X02421,Incident,MIA82IA102,1982-04-20,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Incident,Minor,Airplane,N333EA,lockheed,L-1011,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Eastern Airlines, Inc.",0.0,0.0,0.0,152.0,VMC,Landing,Probable Cause,20-04-1983,0.0
1338,20020917X03653,Accident,LAX82FA195,1982-05-26,"SAN FRANCISCO, CA",United States,,,SFO,SAN FRANCISCO,Non-Fatal,Substantial,Airplane,N1833U,douglas,DC10-10,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,0.0,25.0,113.0,VMC,Taxi,Probable Cause,26-05-1983,25.0
1827,20020917X04065,Incident,NYC82IA137,1982-07-05,"FLUSHING, NY",United States,,,LGA,LAGUARDIA,Incident,Minor,Airplane,CGAAA,boeing,727-233,No,3.0,Turbo Fan,Part 129: Foreign,SCHD,,Air Canada,0.0,0.0,0.0,74.0,VMC,Climb,Probable Cause,04-12-2014,0.0
1962,20020917X03515,Accident,LAX82AA259,1982-07-16,"MORTON, WY",United States,,,,,Non-Fatal,Minor,Airplane,N1815U,mcdonnell,DC-10-10,No,3.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,United Airlines,0.0,7.0,19.0,142.0,VMC,Cruise,Probable Cause,16-07-1983,26.0
